Variable,Default value,Description
\--process-viewer-data-has-error-message-font-weight,normal,Error message font weight.
\--process-viewer-data-has-error-message-font-size,1rem,Error message font size.
\--process-details-column-title-font-size,0.85rem,Process details column title font size.
