PortalKit,portal-components
ch.ivy.addon.portalkit.dto.RoleDTO,com.axonivy.portal.components.dto.RoleDTO
ch.ivy.addon.portalkit.dto.SecurityMemberDTO,com.axonivy.portal.components.dto.SecurityMemberDTO
ch.ivy.addon.portalkit.dto.UserDTO,com.axonivy.portal.components.dto.UserDTO
ch.ivy.addon.portalkit.ivydata.bo.IvyDocument,com.axonivy.portal.components.ivydata.bo.IvyDocument
ch.ivy.addon.portalkit.document.IvyDocumentTransformer,com.axonivy.portal.components.document.IvyDocumentTransformer
ch.ivy.addon.portalkit.enums.DocumentType,com.axonivy.portal.components.enums.DocumentType
ch.ivy.addon.portalkit.enums.BasicDocumentType,com.axonivy.portal.components.enums.BasicDocumentType
ch.ivy.addon.portalkit.enums.UploadDocumentCheckStatus,com.axonivy.portal.components.enums.UploadDocumentCheckStatus
